iter	Passed	Remaining
1005	16539	16342
1006	16556	16326
1007	16571	16308
1008	16586	16290
1009	16601	16273
1010	16616	16255
1011	16631	16236
1012	16645	16218
1013	16660	16200
1014	16675	16182
1015	16690	16165
1016	16705	16147
1017	16720	16129
1018	16752	16128
1019	16768	16111
1020	16783	16093
1021	16799	16075
1022	16813	16057
1023	16827	16039
1024	16842	16021
1025	16857	16002
1026	16871	15984
1027	16887	15967
1028	16902	15949
1029	16950	15963
1030	16965	15945
1031	16980	15927
1032	16995	15909
1033	17010	15892
1034	17025	15873
1035	17039	15855
1036	17054	15837
1037	17069	15819
1038	17084	15802
1039	17100	15785
1040	17116	15767
1041	17132	15751
1042	17148	15734
1043	17163	15716
1044	17179	15700
1045	17196	15683
1046	17211	15666
1047	17257	15676
1048	17286	15671
1049	17301	15653
1050	17318	15637
1051	17361	15645
1052	17376	15627
1053	17393	15611
1054	17408	15592
1055	17424	15576
1056	17438	15557
1057	17452	15539
1058	17468	15521
1059	17484	15504
1060	17499	15487
1061	17514	15469
1062	17529	15451
1063	17544	15434
1064	17559	15416
1065	17574	15398
1066	17590	15380
1067	17606	15364
1068	17620	15346
1069	17634	15327
1070	17648	15308
1071	17664	15291
1072	17679	15273
1073	17693	15255
1074	17708	15237
1075	17722	15218
1076	17737	15200
1077	17751	15182
1078	17766	15164
1079	17781	15146
1080	17822	15151
1081	17836	15133
1082	17850	15114
1083	17864	15095
1084	17885	15083
1085	17901	15066
1086	17916	15048
1087	17930	15030
1088	17943	15010
1089	17958	14992
1090	18001	14998
1091	18016	14980
1092	18031	14962
1093	18046	14945
1094	18077	14940
1095	18092	14923
1096	18107	14905
1097	18121	14887
1098	18137	14869
1099	18153	14852
1100	18170	14836
1101	18191	14823
1102	18207	14806
1103	18223	14789
1104	18238	14772
1105	18253	14754
1106	18298	14761
1107	18328	14755
1108	18342	14736
1109	18357	14719
1110	18372	14701
1111	18387	14683
1112	18403	14666
1113	18427	14656
1114	18445	14640
